iter	Passed	Remaining
0	0	68
1	1	58
2	1	58
3	2	58
4	3	60
5	3	60
6	4	61
7	5	62
8	6	62
9	6	60
10	7	59
11	8	58
12	8	57
13	9	56
14	9	56
15	10	56
16	11	55
17	11	54
18	12	53
19	13	52
20	14	52
21	14	52
22	15	51
23	15	50
24	16	49
25	17	48
26	17	47
27	18	47
28	19	47
29	19	46
30	20	45
31	21	44
32	21	44
33	22	43
34	23	43
35	23	42
36	24	41
37	25	40
38	25	40
39	26	39
40	26	38
41	27	37
42	28	37
43	28	36
44	29	35
45	29	35
46	30	34
47	31	33
48	31	33
49	32	32
50	33	31
51	33	31
52	34	30
53	35	30
54	35	29
55	36	28
56	37	28
57	38	27
58	39	27
59	39	26
60	40	25
61	41	25
62	41	24
63	42	23
64	43	23
65	43	22
66	44	22
67	45	21
68	46	20
69	47	20
70	48	19
71	49	19
72	49	18
73	50	17
74	51	17
75	51	16
76	52	15
77	52	14
78	53	14
79	54	13
80	54	12
81	55	12
82	56	11
83	56	10
84	57	10
85	58	9
86	59	8
87	60	8
88	61	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	68	1
98	68	0
99	69	0
