iter	Passed	Remaining
0	117	117499
1	118	59068
2	119	39555
3	119	29862
4	120	23980
5	121	20072
6	121	17285
7	122	15198
8	123	13562
9	123	12265
10	124	11203
11	125	10317
12	126	9576
13	126	8924
14	127	8361
15	128	7872
16	128	7442
17	129	7056
18	130	6712
19	130	6395
20	130	6106
21	131	5845
22	132	5608
23	132	5396
24	133	5201
25	134	5021
26	134	4854
27	135	4700
28	136	4555
29	136	4422
30	137	4297
31	138	4177
32	138	4071
33	139	3966
34	140	3864
35	140	3771
36	141	3681
37	142	3602
38	142	3520
39	143	3444
40	144	3370
41	144	3301
42	145	3235
43	145	3171
44	146	3111
45	147	3053
46	147	2998
47	148	2946
48	149	2908
49	150	2864
50	151	2818
51	152	2776
52	152	2731
53	153	2688
54	154	2648
55	154	2608
56	155	2570
57	156	2538
58	157	2511
59	158	2482
60	159	2451
61	159	2419
62	160	2389
63	161	2359
64	161	2329
65	162	2301
66	163	2273
67	163	2247
68	164	2222
69	165	2194
70	165	2171
71	166	2147
72	167	2126
73	168	2109
74	169	2091
75	170	2074
76	171	2054
77	172	2036
78	173	2020
79	174	2002
80	175	1986
81	176	1970
82	176	1951
83	177	1935
84	178	1921
85	179	1906
86	180	1893
87	181	1877
88	182	1864
89	183	1853
90	184	1840
91	185	1826
92	185	1812
93	186	1798
94	187	1784
95	188	1770
96	188	1756
97	189	1743
98	190	1729
99	190	1717
100	191	1708
101	192	1695
102	193	1683
103	194	1672
104	194	1660
105	195	1648
106	196	1636
107	196	1624
108	197	1612
109	198	1603
110	198	1593
111	199	1583
112	200	1571
113	200	1561
114	201	1553
115	202	1546
116	203	1537
117	204	1528
118	205	1519
119	205	1509
120	206	1500
121	207	1490
122	207	1482
123	208	1474
124	209	1468
125	210	1460
126	211	1453
127	212	1446
128	213	1439
129	213	1432
130	214	1424
131	215	1417
132	216	1410
133	217	1403
134	217	1396
135	218	1389
136	219	1381
137	220	1374
138	220	1368
139	222	1365
140	223	1359
141	223	1351
142	224	1344
143	225	1338
144	225	1332
145	226	1326
146	227	1319
147	228	1313
148	228	1307
149	229	1302
150	230	1297
151	231	1291
152	232	1285
153	232	1279
154	233	1273
155	234	1268
156	235	1262
157	236	1257
158	236	1251
159	237	1246
160	237	1239
161	238	1234
162	239	1230
163	240	1225
164	241	1222
165	242	1218
166	243	1215
167	244	1210
168	245	1205
169	245	1200
170	246	1196
171	247	1191
172	248	1186
173	249	1182
174	249	1178
175	250	1173
176	251	1169
177	252	1164
178	252	1159
179	253	1155
180	254	1151
181	255	1146
182	255	1142
183	256	1137
184	257	1133
185	258	1129
186	259	1126
187	259	1121
188	260	1117
189	261	1113
190	261	1109
191	262	1105
192	263	1102
193	264	1098
194	265	1094
195	265	1090
196	266	1087
197	267	1084
198	268	1080
199	269	1076
200	269	1073
201	270	1069
202	271	1066
203	272	1062
204	273	1059
205	274	1056
206	275	1053
207	275	1049
208	276	1045
209	277	1042
210	277	1039
211	278	1035
212	279	1032
213	279	1028
214	280	1024
215	281	1021
216	282	1018
217	282	1014
218	283	1011
219	284	1008
220	285	1005
221	286	1002
222	287	1000
223	287	996
224	288	993
225	289	990
226	289	987
227	290	984
228	291	980
229	291	977
230	292	974
231	293	971
232	294	968
233	295	965
234	295	962
235	296	959
236	297	956
237	297	953
238	298	950
239	299	947
240	299	944
241	300	941
242	301	938
243	301	935
244	302	933
245	303	930
246	304	927
247	305	925
248	305	922
249	306	919
250	307	916
251	307	913
252	308	910
253	309	908
254	309	905
255	310	902
256	311	900
257	312	897
258	312	894
259	313	892
260	314	889
261	315	887
262	315	884
263	316	882
264	317	880
265	318	877
266	319	875
267	319	873
268	320	871
269	321	868
270	321	865
271	322	863
272	323	861
273	324	859
274	325	857
275	325	854
276	326	852
277	327	850
278	328	847
279	328	845
280	329	843
281	330	840
282	331	838
283	331	836
284	332	834
285	333	831
286	333	829
287	334	827
288	335	824
289	335	821
290	336	819
291	337	817
292	338	815
293	339	814
294	339	812
295	340	809
296	341	807
297	342	805
298	342	803
299	343	801
300	344	799
301	344	797
302	345	794
303	346	792
304	346	790
305	347	788
306	348	786
307	349	784
308	350	782
309	350	780
310	351	778
311	352	776
312	353	775
313	354	773
314	355	772
315	355	770
316	356	768
317	357	766
318	357	763
319	358	761
320	359	759
321	359	757
322	360	755
323	361	754
324	362	752
325	363	750
326	363	748
327	364	747
328	365	745
329	365	742
330	366	740
331	367	738
332	367	736
333	368	735
334	369	733
335	370	731
336	370	729
337	371	727
338	372	725
339	373	724
340	373	722
341	374	720
342	375	718
343	376	717
344	376	715
345	377	713
346	378	711
347	378	709
348	379	707
349	380	706
350	381	704
351	381	703
352	382	701
353	383	699
354	384	697
355	384	696
356	385	694
357	386	692
358	386	690
359	387	688
360	388	686
361	388	684
362	389	683
363	389	681
364	390	679
365	390	677
366	391	675
367	392	673
368	392	672
369	393	670
370	394	668
371	394	666
372	395	664
373	396	663
374	396	661
375	397	659
376	397	657
377	398	655
378	399	654
379	399	652
380	400	650
381	401	648
382	401	647
383	402	645
384	403	644
385	404	642
386	404	640
387	405	639
388	405	637
389	406	636
390	407	634
391	408	633
392	408	631
393	409	629
394	410	628
395	410	626
396	411	624
397	412	623
398	412	621
399	413	619
400	413	618
401	414	616
402	415	615
403	415	613
404	416	611
405	416	609
406	417	608
407	418	606
408	418	605
409	419	603
410	419	601
411	420	600
412	421	598
413	421	597
414	422	595
415	423	594
416	423	592
